AAA	工	菚	葡萄牙	工期	工匠	恭恭敬敬	花花世界	工藝	工區
PAP	寬容	寬裕	客觀實際	寬窄					
PAQ	塞外	字斟句酌	寬甸						
PAR	寒气	密切接触	密切的聯繫	寒氣	宏觀控製	密切接觸	視若無睹		
PAS	密切配合	寒酸	究其根源	密切相關					
PAT	寒冬	宏觀管理	賽季	賽後	賽程				
PAU	寒冷	塞北	寒意	寬闊	賽前	密切關係	賽道	裙帶關係	社區資源
PAV	社區建設	寬恕							
PAW	賽	寨	塞	寒	謇	騫	鶱	蹇	搴
PAX	宏觀經濟	密切結合	寬帶網	寬綽					
PAY	寒夜	宏觀調控	宏觀調控能力	軍工產品	宏觀調節				
PBA	字幕	突出貢獻	實際工作	初出茅廬	實際工資				
PBB	突出了	軍隊院校							
PBC	冣	㝡							
PBD	字面								
PBF	字	突出地	豁出去	實際需要	實際增長	軍隊幹部			
PBG	字形	突出表現							
PBH	字眼	實際上							
PBI	實際水平								
PBJ	㝋								
PBK	字號	字蹟							
PBL	實際困難	字數							
PBM	字典	字體	㝮						
PBN	實際情況	實際收入							
PBQ	字句								
PBR	空降兵	字据	實際的	實際操作	神出鬼沒	字據			
PBS	字根	字樣							
PBT	字符	實際行動	突出重點	實際生活	㝫				
PBU	字音	實際問題	突出問題	實際意義	字義				
PBV	軍隊建設	字畫							
PBW	字体	字條							
PBX	字母	字母							
PBY	實際效果								
PCB	神圣職責								
PCD	寄予厚望	神圣不可侵犯							
PCG	家務事								
PCI	實驗小學	家務活							
PCK	實驗中學	實驗員							
PCO	家務勞動	神通廣大							
PCP	實驗室								
PCT	神態自若								
PCU	㝊	宻							
PDA	宏觀	突破難關							
PDB	完成了	割除							
PDC	宏	翝	寄予						
PDD	寄存	宏大	富有成效	宏愿	視而不見	宏願			
PDE	寡	宥	割愛						
PDF	宕	㝒	宸	被破坏	割地	被破壞	豁達	富有遠見的	寄賣
PDG	割裂	寬鬆環境	寡頭	寬大政策					
PDH	割	害	豁	鶷	害處	寬大處理	㝣	㝬	㪡
PDJ	害虫	害蟲							
PDK	突破口	豁口	禍不單行						
PDL	寕	寧夏回族自治區	宏圖	突破點					
PDM	寄贈								
PDN	宬	突破性	害怕	害己	寄居				
PDP	寄宿	完成祖國統一大業							
PDQ	豁然	豁免	寄錢						
PDR	寄托	割据	割據	家長制	被壓迫	被壓迫民族	被壓迫人民	被壓迫者	
PDS	寄	密不可分	牢不可破	察布查爾	窮奢極侈				
PDT	寄生	容不得	寄往	寄自	密不透風	神不知鬼不覺			
PDU	寮	害羞	害病	寄養					
PDV	寡婦								
PDW	実	害人	割舍	寄信	家破人亡	宏偉	完成任務	害鳥	
PDX	割斷								
PDY	宊	寄主	寄放	豁亮	寄託	寄語	割讓	寡不敵眾	客套話
PEA	初加工	宜黃							
PEB	空架子	官架子	寫出	寫了	實用階段	宜陽			
PED	宜春	宜丰	寫成	實力雄厚					
PEE	宜興								
PEF	肎	宜城	袒胸露背	家用電腦	家用電器	初學者	寫真		
PEG	宜	冝	實用型	實力政策					
PEI	寫法	實力派							
PEJ	宜昌	寫照							
PEK	宜川	視覺器官							
PEL	軍用車輛								
PEM	宜山	宜豐							
PEN	實用性	軍用飛機	神采飛揚						
PEP	寫字	寫實	寫完	宜賓					
PEQ	寫	冩	補助金						
PER	實用技術								
PES	寀								
PET	寪	寫入	寫稿	運用自如	軍用物資	禮貌待客			
PEU	宜章	實用新型	實用新型專利						
PEW	寫作	寫信	實用價值	軍用偵察機					
PEX	補助費								
PEY	神采奕奕	宜良	被譽為	運用於	實用主義				
PFA	完工	守舊	禍起蕭牆						
PFB	完了								
PFD	完成	神志不清	豁達大度	穿雲破霧					
PFE	冡								
PFF	宗教	實地考察	守勢	神魂顛倒	守靈				
PFG	完整	宗教政策	完事						
PFH	寘	冠縣	完縣						
PFI	宗	崈	賨	鶎	守法	宗派	完滿		
PFJ	宑	完畢							
PFK	㝨								
PFL	宗教界	宗教團體							
PFM	守則								
PFN	冠以	完蛋							
PFP	宗祠	冠軍	實幹家	守軍	實報實銷	䢘			
PFQ	完	冠	寇	冦	宼	鵍	初露鋒芒	㓂	
PFT	宯	完稿	守衛	完稅	守節				
PFU	守	完善	完美	㝪					
PFV	完好								
PFW	完全	宗教信仰	守信	守候	完人	完備	宗師	守備	宗教儀式
PFX	宗旨	完結	守約						
PFY	宗族	守望	守護	空城計					
PGA	定期	家世	寶藏	軍事基地	軍事工業	富蘊			
PGB	定陶	定陵	實現了	寫下了	富陽	軍事院校	定職	賓陽	
PGC	室	家務							
PGD	宣布	富有	宣威	宁死不屈	家長	寶石	富礦	軍政大學	定奪
PGE	寈	家用	寶雞	軍事力量	定興	寶興	家政學		
PGF	宇	㝉	家教	家境	宣武	宣教	定南	宣城	定都
PGG	定于	定型	富于	家政	定理	家事	定形	富平	實事求是
PGH	定	賓	顁	顮	家具	富縣	賓縣	㝟	䎙
PGI	家小	家常	宣泄	家法	富源	定海	憲法	軍事演習	室溫
PGJ	宣	寭	翧	家里	定量	定日	定時	䳦	
PGK	富	冨	家中	富足	家史	富川	寶貴	定單	宣戰
PGL	憲	定罪	定罪	宣恩	定點	家園	富國	軍事思想	
PGM	寅	戭	室內	定購	寶貝	寶山	家財	寶豐	定崗
PGN	完整性	定性	富民	定居	定局	家屬	軍烈屬	軍事裝備	軍事情報
PGO	家庭	家底	富庶	寶庫	寶座	家業	軍政府	寶應	窩囊廢
PGP	宇宙	富裕	家宴	定案	定安	定神	富宁	定額	實現祖國統一
PGQ	寳	室外	定名	定金	定然	寶鋼	富錦	軍事獨裁	
PGR	寶	寚	完整的	宣誓	宣揚	軍事技術	憲兵	軍事手段	富戶
PGS	定西	定要	軍事機關						
PGT	宇航	宣告	定向	定律	定稿	定息	宣稱	實現利潤	軍事行動
PGU	宣判	家眷	定義	家門	憲章	定親			
PGV	寁	定婚	家書	視死如歸	賓至如歸	寶刀			
PGW	家公	定位	定价	家人	富余	家伙	家禽	富翁	家信
PGX	家鄉	富強	塞爾維亞	宣紙	定編	定級	定結		
PGY	宣言	家族	家畜	富豪	定州	宣州	定襄	定為	定於
PHA	安眠藥								
PHB	官職	官階	官職	官階					
PHD	初見成效								
PHE	官腔	官腔							
PHF	官場	初具規模	官場						
PHG	寂	官吏	官吏	字處理	寂靜				
PHK	官員	官員							
PHL	視頻點播								
PHM	寊								
PHN	官	逭	宐	悹	鼏	官司	官司		
PHP	寂寞								
PHQ	官邸	官邸	寂然						
PHR	官兵	官兵	官气	官气	官氣	官氣			
PHT	官銜	官銜							
PHU	㓀	官辦	官辦						
PHV	初步建立								
PHW	官僚	官僚	官价	官价	官倒	官倒	官價	視頻信號	初步估計
PHY	官方	官方	官房	官房	官商	官商	補上這一課		
PIA	穿小鞋	宗法觀念							
PIE	宵								
PIF	憲法規定								
PIJ	客流量								
PIL	實況轉播								
PIN	窮光蛋								
PIO	容光煥發								
PIQ	實況錄像								
PIR	空洞的	空洞無物							
PIS	宵禁								
PIT	禮尚往來								
PIU	㲾								
PIV	寖								
PIW	家常便飯								
PIX	額濟納旗								
PIY	額滿為止	祝酒詞	宗派主義						
PJB	窮日子								
PJG	寔	寓于	寒暑表						
PJI	冠冕堂皇								
PJJ	䥌								
PJK	定時器								
PJM	寓	䴁							
PJO	宴席	審時度勢	定時炸彈						
PJR	寓所								
PJU	寓意								
PJV	宴								
PJW	定量分析	寒暑假	宴會						
PJX	窗明幾淨								
PJY	冥	覭	鄍	鼆	寓言	宴請	寓於	㝠	䒌
PKD	富貴不能淫								
PKE	空中加油								
PKG	宺	察哈爾右翼前旗							
PKJ	實踐是檢驗真理的唯一								
PKK	實踐中								
PKM	寶貴財富								
PKN	宮殿								
PKO	宮燈								
PKP	寶中之寶								
PKQ	寅吃卯糧								
PKR	寶貴的	家喻戶曉	寶貴的經驗	空口無憑					
PKS	宲	空中樓閣							
PKT	宮	初中生	宮廷	初戰告捷	寶貴生命				
PKU	寶貴意見	寶貴資源	禮品券						
PKV	守口如瓶								
PKX	實踐經驗								
PKY	實踐證明	空口說白話							
PLA	安置工作	冥思苦想	軍區	軍工	軍醫	軍警	運輸工具		
PLB	鄆	軍隊	突擊隊	突擊隊員	軍職				
PLC	軍務								
PLD	顐	祖國大陸	軍長	軍威	宏圖大略				
PLE	運力	軍力	運用	軍用	運力	軍服	軍墾	軍力	
PLF	運載	運城	軍需	運走	鄆城				
PLG	寰	軍事	軍政	運到	禍國殃民				
PLH	皸	軍齡							
PLI	運河	軍港	軍法						
PLJ	軍	運輸量							
PLK	軍品	軍史	軍號	運單					
PLL	運輸	運轉	軍團	軍車	軍界				
PLN	軍民	軍轉民	軍裝	軍屬	軍心	軍情	禮輕情義重		
PLO	運營	軍營	軍火	運輸業					
PLP	運	寰宇	軍官	軍官	軍容	軍禮	祖國富強		
PLQ	運銷								
PLR	祖國的	運氣	運抵	軍樂	突擊手	軍製	軍援		
PLS	牢固樹立	軍校	軍械	軍歌	軍機	軍權			
PLT	運行	運動	運算	軍委	祖國和平統一	運往	軍艦	軍銜	運籌
PLU	運送	軍閥	軍部						
PLV	寠								
PLW	鶤	運作	軍人	軍備	軍師	軍令	軍餉	軍風	宏圖偉業
PLX	祖國統一	運費	軍費	運輸線	運輸網	社團組織	軍紀	富國強兵	
PLY	軍方	軍旅	軍訓	軍旗	軍國主義	軍國主義思想	軍國主義者		
PMD	寷								
PME	神農架	視同兒戲							
PMF	宙	穿山越岭	穿山越嶺						
PMG	窮山惡水								
PMJ	冚								
PMK	視同路人								
PML	窮則思變								
PMV	神丹妙藥								
PMX	補貼費								
PMY	窮則變								
PNA	密切	突尼斯	安心工作	軍民共建	寧蒗	家屬區	軍民共建點		
PNB	寧陽	軍民聯防	寧陵	寧陝					
PNC	㝕								
PND	密布	密友	密碼	寧夏	寧願				
PNE	甯	蜜月	被選舉權						
PNF	密封	密云	襟怀坦白	密雲	寧城	寧南	寧都	寧武	寧遠
PNG	富民政策	寧靜	補習班	寧晉					
PNH	寐	寢	寤	寎	寣	寱	寧肯	密縣	寧縣
PNI	寧波	寧海	寧河	寧津	視情況而定				
PNJ	蜜蜂	寧明	㝭						
PNL	寧	寍	寜	鸋	定居點	軍民團結	寧國	㲰	
PNM	賔	密山	寧岡						
PNO	密度								
PNP	寢室	實屬罕見	寧安	家屬宿舍	安慰賽				
PNQ	密鑰	突飛猛進							
PNR	密探	安居樂業							
PNS	密植	密林	寧可						
PNT	蜜	密	宓	寗	安民告示	實習生	寧德	䀄	䁇
PNU	冠心病	密閉	軍民關係						
PNV	定心丸								
PNW	寥	密集	定性分析	密令	密件	密使	安裝公司	寢食	完璧歸趙
PNX	軍民結合	寧鄉	密級	寧強					
PNY	廴	被選為	密謀	實習記者	密談				
POB	穿鑿附會								
POC	叜	家庭矛盾							
POD	家庭成員								
POF	家庭教育	家庭教師							
POG	家庭環境	家庭副業							
POH	宋慶齡基金會								
POJ	家庭影院	安度晚年	家庭暴力						
POL	實業界								
POM	家庭財產								
POO	軍火庫								
POP	實業家								
POS	安營紮寨								
POT	家庭生活								
POU	冞	宩	家庭美德	家庭關係					
POV	家庭婦女	㝩							
POW	家庭住址	家庭作業							
POX	家庭網絡	家庭經營							
POY	運營商	家庭主婦	軍火商	軍火交易	家庭訪問				
PPA	安家落戶	空軍基地	視察工作	定額工資製					
PPB	之際	賓客盈門							
PPD	之三	富富有余	實實在在	冠軍盃	寬宏大量	富富有餘	寬宏大度		
PPE	之爭								
PPF	之二	被害者	之勢	之聲					
PPG	之一	之下	安安靜靜						
PPH	之上	祖祖輩輩							
PPI	之流								
PPJ	客運量								
PPK	之中	之路	冤家路窄						
PPL	安定團結	寥寥數語							
PPM	之內								
PPN	空軍司令	禮賓司							
PPO	密密麻麻	之類							
PPP	之	冠軍賽							
PPQ	之外	之久							
PPR	之后	客客气气	家家戶戶	寥寥無幾	富裕戶	客客氣氣			
PPS	之极	寫字樓	之極	寫字檯	官官相護				
PPT	之後	字裡行間	定額管理	安安穩穩	竊竊私語				
PPU	㝎	之前	之首	之間	空軍部隊	寫字間	安家立業		
PPV	空空如也								
PPW	之余	被害人	安定人心	之餘	軍容風紀				
PPX	視神經	安家費							
PPY	牢牢記取	官運亨通							
PQB	宛		剜	惌	邥	鵷	鹓	䗕	䵫
PQD	䪴								
PQG	瓭								
PQI	宨	沊							
PQK	冤	寃							
PQM	寏								
PQN	冤屈	冤情							
PQP	冤家	冤案							
PQQ	宛然	額外負擔	冤獄	㝖					
PQR	安然無恙	實名製							
PQS	冤枉	複印機	豁免權						
PQT	密鑰盤								
PQU	安危冷暖	豁然開朗	突然間	突然襲擊					
PQV	冘	宛如							
PQW	鴆	冤仇	㱽	䧵					
PQX	穿針引線								
PQY	㝌								
PRA	安排工作								
PRB	察看了	軍樂隊							
PRC	寙								
PRD	安排不當								
PRE	客戶服務器								
PRF	空白支票								
PRG	寒气逼人	官兵一致	空無一人	寒氣逼人					
PRH	實質上								
PRI	空气污染	空氣污染	神氣活現						
PRK	複製品								
PRL	空白點	窮兵黷武							
PRN	之所以	實質性	實質性談判						
PRP	實打實	安樂窩	被拒之於門外						
PRR	空氣質量								
PRS	客戶機	審批權	窮凶極惡						
PRT	安排生活	審批程序	安排生產	被迫自衛					
PRU	實質問題	官兵關係							
PRW	被迫進行								
PRX	冟	寧缺毋濫							
PRY	寄希望于	寄希望於	宣誓就職	袖手旁觀					
PSA	宁蒗								
PSB	宁陵								
PSD	宁夏	宁愿	家醜不可外揚	䫅					
PSF	宁城	宁南	宁都	宁武					
PSH	宁肯								
PSI	宁波	宁海	宁河	宁津					
PSJ	宁明	寒來暑往							
PSL	㿾								
PSO	軍械庫								
PSP	宁安								
PSQ	穿梭外交								
PSR	安哥拉								
PSS	冧	宁可	審查核準	㝝					
PST	宁德	守株待兔	審查委員會	初來乍到					
PSU	宋								
PSV	神机妙算	神機妙算							
PSW	宁化								
PSY	官樣文章								
PTA	宅	神乎其神	客觀	運動項目					
PTB	社科院	福利院	宅院	實行了	運動隊	客隊			
PTC	牢騷								
PTD	宎	宣告成立	神秘感	客套	福利厂	官復原職	㝯		
PTE	寒冬腊月	運動服	運籌學	寒冬臘月					
PTF	宒	初等教育	運動場	定向培養					
PTG	牢	審理	額頭	福利事業	禍從天降	宮廷政變			
PTH	㝚	㝰							
PTI	安徽省	客流	客滿						
PTJ	寄生虫	寄生蟲	運動量						
PTK	額	客	愙	客串	運動員	㝢			
PTL	牢固	客車	客輪	初等數學					
PTM	客體	運籌帷幄							
PTN	實行改革	運行情況	被動局面	審慎	禮節性				
PTO	審	宷	覾	客座	被告席	客店	額度	客廳	福利廠
PTP	客家	安身之地	客運	審定	審視	額定	審察		
PTQ	神秘色彩	額外	牢獄	額角					
PTR	客气	定向招生	客戶	審批	客氣				
PTS	客机	客票	審查	運行機製	審核	客機	客棧		
PTT	客船	牢靠	客艙	初生牛犢不怕虎	牢籠	軍委各總部			
PTU	審判	審美	審閱	審問					
PTW	客人	被告人	客体	神秘化	運動會	客貨	客飯		
PTX	審結	福利費							
PTY	客商	客房	牢房	審議	審計	被稱為	牢記	審訊	軍委主席
PUA	襪	襤	褡	袣	裓	褀	褋	褗	褠
PUB	衪	衱	袦	襵	褲子	䘶			
PUC	衩	裰	褦	褬	襂	被騙	䘞		
PUD	褥	袏	袚	袥	袴	袸	袹	袻	裌
PUE	衫	寵	袓	褑	襷	被服	補助	寵兒	寵愛
PUF	宰	褂	褚	襦	衦	衭	衼	袆	袪
PUG	補	裱	衧	裋	裲	褄	褔	褿	襀
PUH	被	袩	裃	裭	裶	褃	初步	被占	初具
PUI	襠	褝	初小	被盜	䘯				
PUJ	裸	裡	褐	袒	裼	衵	裩	裫	裮
PUK	裎	衶	裐	襌	襙			初中	袖口
PUL	襬	褸	褳	裀	裍	襗	襡	被困	初四
PUM	袖	衲	衻	袇	袡	裯	褍	襛	補貼
PUN	褶	裾	袂	袐	袯	褘	襈	襟怀	裕民
PUO	褲	裧	褯	襆	襨	褐煤	審判庭		
PUP	衴	袉	袕	裈	褌	褣	被褥	被害	襁褓
PUQ	袍	衹	袀	袛	袧	袳	裪	襐	襜
PUR	裨	褫	袙	袟	袾	被迫	被捕	被控	被扣
PUS	襟	襻	寴	袔	褼	褾	宰相	補丁	審判權
PUT	襖	複	衽	袼	袘	袮	袶	裄	裇
PUU	襯	褙	襉	袢	裞	裷	褨	襇	襒
PUV	初	裙	褪	裉	袑	袽	襑	初始	初九
PUW	裕	袱	褓	襝	衿	袷	衯	衳	衸
PUX	袎	褖	初級	補給	補繳	空前絕後	䘟		
PUY	褊	衤	袨	裗	褅	褵	襢	初衷	初六
PVA	鞌	安葬	突如其來						
PVB	宄	案子	安陽	安陸	䢿				
PVD	頞	寶刀不老							
PVF	安	安南	安培	安吉	安遠				
PVG	安平	安于	安靜	案頭	安頓	福如東海壽比南山			
PVH	安上	安眠	安睡	安縣					
PVI	福建省	安溪	安澤						
PVJ	安歇								
PVK	安順								
PVL	安置	安國	安圖	䀂					
PVM	案由								
PVN	安居	安慰	安心	案情	安民	安裝			
PVO	安康	安度	案底	安慶					
PVP	安定	安宁	安神	安家	安塞	安福	安祥	安寧	害群之馬
PVQ	案犯	安危	安然	安逸	安多				
PVR	安排	安排	安丘	安插	安岳	安樂	完好無損	安撫	
PVS	案	安西	安檢						
PVT	宭	安徽	安生	安息	安身	安穩	䅁		
PVU	案卷	安新	安義	安龍	安閒				
PVV	安好								
PVW	鴳	安全	案件	案例	安化	初始值	安分	安仁	㝧
PVX	安鄉								
PVY	安放	完好率	安詳	安於	安謐	案證			
PWA	穿	空	窢	鵼	穿鞋	空勤	社保基金	宣傳工作	軍分區
PWB	窿	冗	宂	窋	窷	突出	空子	空隙	穿孔
PWC	梥	窓	窡	社會矛盾	㝐	䆓	䆯	䆷	
PWD	突	宿	窚	窫	竂	鶟	突破	安全感	完全有能力
PWE	竄	窰	守信用	容貌	社會力量	察覺	社會輿論	宣傳月	安全與穩定
PWF	察	罕	窺	竇	穽	窐	窙	窛	窴
PWG	窒	窀	穻	窉	竀	完全正确	穿刺	安全事故	完全平等
PWH	窅	窧	社會上	罕見	宏偉目標	空虛	窺見	宿縣	容縣
PWI	窪	窏	空洞	空泛	社會治安	社會治安綜合治理	宣傳活動	社會黨	社會活動
PWJ	窠	窤	容易	容量	完全是	害人虫	空曠	社會影響力	害人蟲
PWK	窗口	空中	容器	空喊	空口	冗員	宣傳品	空戰	宣傳員
PWL	窶	突擊	社會團體	窩點	窮國	突圍	窮困	空轉	䆘
PWM	窩	安全网	安全帽	完全同意	窄幅	穿過	宣傳週	社會財富	竊賊
PWN	窟	穵	窹	安全性	空心	完全必要	安全局	完全避免	突發性
PWO	窲	宴會廳	宿營	窩火	鶴慶	䆦	䆲		
PWP	窗帘	窟窿	窈窕	安分守己	空軍	社會福利	社會實踐	社會安定	空運
PWQ	窕	穸	窇	窌	窎	窞	突然	竄逃	容錯
PWR	竅	窳	窊	空气	空白	察看	安全措施	空缺	穿插
PWS	穼	罙	完全可以	安全可靠	穿梭	空格	完全可能	空想	宿松
PWT	窗	窮	窄	竊	窖	窆	宱	穾	窂
PWU	穴	㓁	窯	邃	窨	竉	究竟	空前	安全部
PWV	究	窘	寑	窼	容忍	窮盡	䆒		
PWW	容	窬	彮	窱	窵	鴧	鴪	宿舍	安全保密
PWX	穹	窈	窽	祖父母	祖父母	容納	補償費	社會總產值	社會組織
PWY	鶴	寉	寯	窔	窣	隺	穿衣	宿州	社會主義
PXB	宆	實際	初級階段	初級職稱					
PXC	宖	實驗							
PXD	實在								
PXE	實力	實力	實用						
PXF	實	實地	實幹						
PXG	實現	實惠	實事	初級班	㼠				
PXH	䙾								
PXI	實況	被剝削	被統治階級	被剝削階級					
PXJ	實時								
PXK	實踐	實戰	神經中樞	實足					
PXM	實體	實則							
PXN	實習	實情	實心						
PXO	實業								
PXP	迱								
PXQ	實錄								
PXR	它的	實質	實據						
PXS	實權								
PXT	寲	實行	實物	神經系統	守紀律				
PXU	軍費開支								
PXW	它們	實例	家鄉人	窮鄉僻壤					
PXX	實彈								
PXY	實施	實效	初級產品	神經衰弱	實證	實話			
PYA	祺	祴	禖	禥	社區	審計工作	禮花	察言觀色	福貢
PYB	祁	礽	祂	視聽	審議了	祖孫	祁陽		
PYC	祃	禡	神圣	神通	審議通過	神態	䄌		
PYD	祐	祓	禊	祜	祏	祳	禲	神奇	祝愿
PYE	祖	禐	神力	神力	神采	福彩	視力	祝賀	視覺
PYF	社	㝘	禱	禧	祛	祎	祙	祮	祾
PYG	福	禰	宔	祬	禣	神速	祈求	祁東	安於現狀
PYH	視	禎	祉	福鼎	祖上	視頻	祖輩	祁縣	禮縣
PYI	福清	祝酒	祠堂	福海	神池	禮堂	䄕		
PYJ	神	祼	禑	禓	禔	禢	禵	神明	視野
PYK	祝	禪	祌	祦	禮品	社員	禍患	䄇	
PYL	祵	祻	禗	禝	禤	禩	祖國	視圖	社團
PYM	禮	禍	禂	禯	視同	祿豐	䄂	䄃	
PYN	冖	祕	祀	祠	辶	祤	禕	神情	複雜性
PYO	禟	禷	禮炮	神廟	複雜勞動				
PYP	禈	祝福	祖宗	福安	視察	祈禱	禍害	實話實說	䄙
PYQ	祗	祇	祧	礿	祪	祹	神色	視角	複雜多變
PYR	祈	㝑	祑	祩	禆	禠	神气	福气	福泉
PYS	禋	禫	神木	禍根	實言相告				
PYT	祚	祅	祍	祣	祰	禶	福利	神秘	祖先
PYU	祥	禚	祱	祶	禉	禌	禙	禭	福音
PYV	祒	祲	福建	社群	定計劃	㝗			
PYW	宍	祄	祋	祔	祫	禬	禴	室主任	神仙
PYX	祿	禒	禨	祖母	祖母	神經	實施細則	視線	審議結果
PYY	禳	宀	礻	祊	祽	禘	禞	福州	神州
QAA	錢	鉽	鐷	昏花	錯落				
QAB	鉗子	名落孫山	包工隊						
QAC	多功能								
QAD	锘	錤	鍖	鍩	鐁	鑶	頯	昏厥	錯落有致
QAE	鏾	錯覺	錯亂	多難興邦					
QAF	鉗	氒	鐯	鑉		急切地	急切需要		
QAG	釭	鏵	錢其琛	包工頭	錯事	䥬			
QAH	鑑	桀	鏗	舛	铘	釾	鋣	鑦	鑬
QAI	銾	鑮	昏沉	劉華清					
QAJ	昏	錯	鏌	昏暗	鋒芒畢露	䤷	䫒		
QAK	钷	鉕	鏂	鑎	鑵	䥲			
QAL	錨	鑖	錯車						
QAM	帋	鉔	鍈	鏋	鐄	锳	錯過	錢財	
QAN	鉅	鋱	鉪	鍱	錯怪	錯那			
QAO	昏迷	錢糧							
QAP	象牙之塔	錯案	錯字	錯寫	包藏禍心				
QAQ	鐕	包工包料	錢包	鏗鏘	金黃色	金戈鐵馬			
QAR	銰	急功近利	鏈式反應	鉗製	鋒芒所向	錯看			
QAT	鑝	匈牙利	錢物	狂歡節					
QAU	钄	錢幣	外匯資金	外匯券					
QAV	氏	鍣							
QAW	鑊	匒	鉷	錵	鎝	外匯儲備	錯位	䲭	
QAY	邸	鈛	氐	鴟	釴	鋩	錺	铓	氏族
QBA	危險期	夕陽工業							
QBB	鑷	鎁							
QBC	鋷	駌							
QBD	迎春	迎面							
QBF	迎考	解除武裝	負隅頑抗						
QBG	釨	鉺	雛形	鄒平	迎頭	㼝			
QBH	卬	夘	邜	釕	眢	鄒縣	䥀		
QBI	䤴								
QBJ	鐊	狼子野心	䖤						
QBK	迎戰	危險品							
QBL	錳	盌	迎擊	㽜					
QBM	鈯	獨聯體	㠾						
QBN	怨	夗	釶	銸	怨恨	危險性	皺眉	獨出心裁	
QBP	迎	迎賓							
QBR	迎接	怨气	怨氣	釘子戶					
QBS	錒	迎來							
QBT	皺	釢	鄒	芻	雛	鶵	危險物品	㱀	
QBU	迎新	迎送	䥙						
QBV	妴	外孫女							
QBW	鴛	迎合	迎候	迎風	留職停薪				
QBX	皺紋	外聯網							
QBY	鈒	钑	怨言						
QCB	色								
QCC	錣	鎟	鏒	勾通					
QCD	猶豫不決								
QCE	銿	色彩							
QCF	色達								
QCG	色素								
QCI	勾	色澤	外務省	勾當					
QCK	鈶								
QCL	䥁								
QCN	鈀	鍒	鐍	色情					
QCO	鎷								
QCQ	鈗	勾銷							
QCR	勾搭								
QCT	鉾								
QCV	勾畫								
QCW	鋑								
QCX	勾引	勾結							
QCY	釵	色盲	色調						
QDA	危難	䤻	䥄	䥦					
QDB	危	鈪	頠	危及	免不了	危險	猛不防	㩻	䣀
QDC	鈸	鈜							
QDD	然而	久盛不衰	鍥而不舍	鐵礦石	負有不可推卸的責任				
QDE	銪	鋹	鍸	䥳					
QDF	錛	銙	鋠	錼	鍷	鎒	鋌而走險	䥎	
QDG	鈷	鉐	銊	鍼	負有責任	名不副實	鮑威爾		
QDH	鍥	钚	鈈	鉟	銌	銔	鏏	鏚	犯不上
QDI	銇								
QDJ	匎	銆	危在旦夕	䤶					
QDM	鈽	顉	逃不過	逃不過					
QDN	鋮	危局	鐵石心腸	䤞					
QDP	危害	留厂察看	名存實亡						
QDQ	鋴	危急	久而久之	金三角	忽左忽右	銀灰色	鐐銬		
QDR	厃	鏯	然后	多面手	遙感技術	鐵面無私	金不換	䤺	
QDS	錡	锜	危机	急不可耐	急不可待	危機	銳不可當		
QDT	矦	鋳	危重	然後	負有重任	猶太復國主義	䥶	䦁	
QDU	鐐	镢	鐝	犯有前科					
QDW	詹	鋏	甔	留有余地	煞有介事	猶太人	留有餘地		
QDX	銭								
QDY	然	釱	鈦	危房	危亡	䳿			
QEA	角落	解散	解難						
QEB	鋢	解除	触及	解聘	狗腿子	觸及	解職	名譽院士	
QED	触礁	名勝古蹟	觸礁	夠朋友					
QEE	錋	角膜	解脫	觸覺	䤾				
QEF	臽	鋝	觸電	名譽教授	獲勝者	名譽博士			
QEG	鈅	鋤	鍰	鉏	角逐	解毒	解救	解囊	角球
QEH	角	解	觸	觔	蟹	斛	觥	邂	觚
QEI	解渴	多加小心	解決						
QEK	鉫	解嘲							
QEL	解圍								
QEM	解體								
QEN	解恨	金雞獎							
QEO	燄	角度	燄火						
QEP	鑀	解密							
QEQ	欿	鹐	角色	触角	触犯	狐朋狗友	觸角	觸犯	
QER	鎐	触摸	觸摸	名譽掃地					
QES	解析	解禁	名譽權						
QET	釛	釤	解答	解乏	解釋	留學生	多學科	觸動	㷺
QEU	解剖	解開	解凍	解悶					
QEV	鋖								
QEW	鵮	解体	觸發	留學人員	名譽會長	留學歸國人員	名譽會員		
QEY	解放	解雇	名譽主席	解說					
QFA	鐼	銷聲匿蹟							
QFB	鑽井隊	鎮子							
QFC	鈘	鉣	鎑	鐵騎	鎮巴	㔩			
QFD	勻	鑐	鎮長	鐵礦	鎮壓	名聲大振	名聲大噪	名聲在外	鎮雄
QFE	鐵力	鐵力							
QFF	鐃	銈	急起直追	怨聲載道	鎮遠	獨裁者	鎮坪	䥗	
QFG	釷	猛增到	針刺	鎮靜	針頭	鎮平	勻速	包乾到戶	勻整
QFH	針	釬	㚈	鎮	錻	急需處理			
QFI	銢	鎮江	鐵漢	鐵法	鎮沅				
QFK	鐵	銡	鎱	鐡	名震中外	急需品	鐵路	鑼鼓喧天	鐵器
QFL	鐳	鑟	鐵軌						
QFM	鐵嶺								
QFN	鑄	釫	鋕						
QFO	針對	鎮康	䤲						
QFP	鋍	鎍	鎮定	鎮寧	鐵窗	鎮安	鎮守		
QFQ	鈨	針灸	鑄鐵	急需解決	鐵鍬	多才多藝	䥤	䥻	
QFR	包干制								
QFS	鎮賚	鐵板	鐵橋						
QFT	鍺	銬	銠	釮	﨧	鑄造	勻稱	鐘靈毓秀	
QFU	鐽	﨨	鐵道	鎮痛	鐵門	鐵拳			
QFW	鈇	錂	錴	鐟	鑚	多元化	外地人	鐵人	鑄件
