aaa	工	工艺	葡萄牙	工期	工区	工匠	恭恭敬敬	劳苦功高	花花世界
kwx	哗	中介组织	吪	㗶					
kwy	叭	㕥	唯	吟	噙	噍	呤	中华文明	只许
kxb	吸引了								
kxe	呦	吸引力							
kxg	喙	嚣张一时	嚩						
kxh	吲								
kxi	中级法院								
kxj	咈								
kxk	中继器	吆喝							
kxm	㖰								
kxn	叱								
kxq	哟	吸引外资							
kxr	嚣张气焰								
kxt	中纪委	㘈							
kxu	中组部	中继站							
kxw	吸引人	哛	㖎						
kxx	哔	咝	吡	喈	中继线	噝			
kxy	吆	呣							
kya	咬牙								
kyb	唁函								
kyc	唷	叹为观止							
kyf	忠诚老实								
kyg	唁	中方表示							
kyi	贵州省								
kyj	哜	唁电							
kyk	嚷	哼	嚎	咬文嚼字	咳嗽	嘀咕	啼哭	啍	喨
kyl	中文输入								
kym	中文网站								
kyn	咳	咏	唳	呝					
kyq	唱主角								
kyr	趾高气扬	囄							
kys	中高档								
kyt	㕫	嗾	只言片语	㖄					
kyu	啼	嘀	忠言逆耳	嗙					
kyv	啷	哴							
kyw	吭	咬	啐	中文信息	中文化	唹	囃	㖡	
kyx	中高级	呟	噰	㗜					
kyy	呅	另谋高就	听说读写	另请高明					
laa	轼	四项基本原则	輚						
lab	斩草除根								
lad	䡳								
laf	黔东南	䡷							
lag	国共两党	軭							
lah	轞	䍓							
lai	罪孽深重								
laj	羃	轕							
lak	㘟	羁	爴	罭	羇	㽣	䡱		
lal	䡸								
lam	置若罔闻								
lao	轻工业	轻工业部	轻工业产品						
lap	国营农场								
laq	固若金汤								
lar	羁押								
lau	轻工部	轻工产品	轥						
law	国营企业	国共合作	輁						
lax	羁绊	国营经济							
lay	国营商业								
lba	国防工业	国际劳动节	国际劳动妇女节						
lbb	国际联网	国际联运							
lbc	男子双打	輙							
lbd	囝	国际研讨会	国际友人	国际大循环					
lbe	国际舆论	国防力量							
lbf	国际地位	国际博览会	国防教育	国际裁判	国防支出				
lbg	国际互联网	国际事务	国际形势	国际环境	国防现代化	国际政治经济新秩序	四子王旗		
lbh	国际上								
lbi	国际水平	国际法	男子汉	国际法庭	国际法准则	䡕			
lbj	国际影响								
lbl	国际国内								
lbm	国际周								
lbn	辄	国际性	国际惯例	国际收支	国际快讯	国际局势			
lbo	团队精神								
lbp	国际社会	国防军							
lbq	国际贸易	国际金融	国际象棋	国际争端	国际儿童节	国际贸易促进委员会			
lbr	国际舞台	国际制裁							
lbs	国际标准	国际机场	国际歌	国际要闻					
lbt	国际先进水平	国防科技	国防科工委	国际奥委会	国际和平	国防委员会	国防科学技术工业委员会		
lbu	国际竞争	国防部长	国防部	国际问题	国际新闻	国际关系	国际间	国际新秩序	国际关系准则
lbv	国防建设								
lbw	墼	国际化	国际合作	国际货币	国际会议	国际领先	国际公约	国际会议中心	国际风云
lbx	国际组织	国际经济	国际比赛	国际经济新秩序	国防费				
lby	国际市场	国际交流	国际交往	国际商会	国际义务	因陋就简	国际主义		
lca	轻	轻工	轻巧	轻薄					
lcb	轻取	轻盈	轰隆						
lcc	轰	辍	轻骑	轻柔	畷	罬	㽩	䡦	
lcd	Α	Β	Γ	Δ	Ε	Ζ	Η	Θ	Ι
lce	㔥								
lcf	轰动	轻声	轻者	圗	軽				
lcg	轻型	轰击							
lci	囜	㘝	α	β	γ	δ	ε	ζ	η
lcj	轻易								
lck	轰鸣	囼	軩						
lcl	轻轨	轻轻	轻轨						
lcm	轻则	圎							
lcn	罗马尼亚	轻快	畏难情绪	罞	輮	㙒	㽥		
lco	轰炸								
lcp	轻视								
lcq	㽙								
lcs	轻松								
lct	困难重重	轻重	轻微	轻生					
lcw	轻便	四通八达	轻信	轻伤	畯				
lcx	轻纺								
lcy	困难户	轻率							
lda	因其								
ldb	轭	因子	转达了						
ldc	軷	䍔	䡌						
ldd	固	因而	国有大中型企业	固有	固态	因故	固原	黑压压	
lde	囿	国有股	恩爱						
ldf	罟	回顾过去	略有增加						
ldg	轱	軲	因素	畸形	恩惠	四百万	连成一片	罪大恶极	輱
ldh	罘	因此	囨	轊	䡺				
ldi	因	黑龙江	黑龙江省	固沙	恩泽				
ldj	罨	轻而易举	因果	㽢					
ldm	恩赐	輀	輭						
ldn	恩	较大改善	恩情	国泰民安					
ldo	罪有应得	罽							
ldp	固定	固守	固安						
ldq	固然	恩怨	欭						
ldr	较大的	固执							
lds	畸	四面楚歌	輢						
ldt	畴	恩德	轣	䍥					
ldu	国有资产	国有资本	软硬兼施	略有减少	置有关法规于不顾	轑			
ldw	辏	国有企业	国有企业改革	固体	固化	四面八方	恩人	国有化	默不作声
ldx	国有经济	略有结余							
ldy	軑	轪	畎	因为	恩施	盢	軚		
lea	男式								
leb	男子	男孩	男队	罦					
lec	男双								
led	男朋友								
lee	㘞	輣	轁						
lef	胃	田边地头	㽟						
leg	䢁	略胜一筹	罝						
lek	胃口								
lel	男团								
len	男性	辅助性							
leq	男儿	輗							
ler	男	男排	㘥						
let	㽖	䡃	男篮	男生	㽒				
leu	男单								
lev	嬲	男女							
lew	男人	四月份							
ley	男方								
lfa	园区	园艺	围攻	罢工	四十七	转世	轒		
lfb	罢了	团聚	转子	黑子	转出				
lfc	罢	罴	黑马	围观	思考能力	囩	圔	転	䡋
lfd	转达	默契	四十三	黑布	轜	㽭			
lfe	转用	墨脱	置办						
lff	畦	转动	园地	围墙	黑土	转运	四十二	转载	围城
lfg	置于	转速	四十五	四十万	四十一	轰动一时	转正	围歼	转型
lfh	轩	置	转眼	转战	转瞬	㸃	䡩		
lfi	団	墨水	黑洞	连云港	黑河	黔江	黑水	转学	
lfj	䍐	黑暗	黑影	囲	畊				
lfk	辕	团员	转口	轻武器	瞏	䡼	䡿		
lfl	默默	团团	围困	团圆	四十四	轩辕	园田	䍣	
lfm	罱	转帐	黑山	转账					
lfn	转	围	转发						
lfo	黑	墨	默	黔	黯	黩	黝	黜	黥
lfp	黑客	黑窝	䡹						
lfq	园	黑色	署名	罢免	默然	䡇			
lfr	转换	因地制宜	黑白	转折	转播	置换	团拜	黑手	转手
lfs	围棋	园林	转机	黑板	园丁	围栏			
lft	署	团	转移	转向	团长	转入	团委	置身	转身
lfu	圉	转产	回过头来	国土资源部	转送	团支部	团部	团支部书记	车载斗量
lfv	围剿	转嫁	四十九	围垦	转录	轌			
lfw	转化	团体	黑人	团伙	四十八	围坐	罢休	置信	畉
lfx	围绕	团结	转给	置疑	墨绿	黑线	国境线	轻声细语	
lfy	转变	转让	转为	默认	转交	轰动效应	黑夜	黑市	转弯
lga	国营	车工							
lgb	囤	国际	国防	车队	车子	国联	国耻	軘	
lgc	轾	车马	畏难	国难	罪责难逃				
lgd	囯	国有	国大	车厢					
lge	辅	畏	圃	圊	辅助	国力	国办	车胎	圂
lgf	国土	车载	国都	国境	车场				
lgg	軖	国王	国画	国政	车速	连环画	国事	甲天下	车型
lgh	罡	车皮	囸	㓻					
lgi	车流	国法	罪恶滔天	轻于鸿毛					
lgj	畀	辐照	罪恶昭彰						
lgk	辐	圄	睘	翾	鹮	䴉			
lgl	车辆	车轮	国界	国与国	车轴	疅			
lgm	辆	国内	輌						
lgn	车	国情	国民	辅导	畏惧	国书	畸形发展		
lgo	国庆	国库	国度	车床	车库	国粹	车灯	连珠炮	
lgp	国家	车祸	国宝	国宴	国宾	回天之力	车窗		
lgq	国外	车外	軏						
lgr	国手	男青年	车把	车手					
lgs	国歌	车票	国格						
lgt	辐射	车身	国籍	国务	国策	国徽	车船	圆珠笔	罪恶行径
lgu	国产	车间	车站	国立	国门	车道	车门	车前	车次
lgv	輺	鑋							
lgw	国会	国债	国人	国企	国货	国优	车体	国体	四平八稳
lgy	国	国旗	国事访问	国文	国语	车市			
lha	䡾								
lhc	四通	軙							
lhd	罪	四大	四百	四面	輫				
lhe	四月	四肢							
lhf	四十	四起	罪过						
lhg	四万	罪恶	四平	罪责					
lhi	四海								
lhj	罩	四时							
lhk	㐃	四川							
lhm	四周	䡠							
lhn	甲	四	皿	轳	囗	罒			
lhp	罪案								
lhq	罪犯	罪名	四角						
lhs	甲板								
lht	四处	四季	四千	罪行	甲等	固步自封			
lhu	罩着								
lhw	四化	四亿	圆桌会议	罪人	四邻	四体			
lhx	甲级								
lhy	四方	甲方							
lic	车水马龙								
lid	圆满成功	国法不容	因小而失大						
lie	輎								
lif	罚没款	塁							
lig	輄	㘢							
lii	囦								
lij	㘤	䍝							
lin	〇								
lip	圆满完成	圆满完成任务	疂	遝					
liq	圆满解决	㱎							
lir	因小失大								
lis	固沙林								
lit	输油管	输油管线							
liu	眔	軣							
liw	䳴								
lix	圆满结束								
liy	轻举妄动	四海为家							
lja	罼								
ljg	连日来	畼	輰						
ljl	圆明园	輼	辒	䡬					
ljp	回归祖国								
ljq	輵								
ljs	輠								
lju	因果关系								
ljx	辊								
lka	回落	回荡	回敬						
lkb	辑	回函							
lkd	回	回顾	回春						
lke	罥	㘣							
lkf	軎	回去	回声	回填	回味无穷				
lkg	回到	回来	圆形	回天	回击				
lkh	甽	䡅	回眸	圆桌	圚				
lki	四川省	圆满	回流	回潮	回溯	圆润	圆滑		
lkj	回归	回电							
lkk	回路	回味	回响	䡲					
lkl	回国	回转	圆圈						
lkm	圆	团中央	圆周	回赠	回购				
lkn	回收	回忆	回避	回民					
lko	回应	因噎废食							
lkp	回家	廻							
lkq	軦								
lkr	回报	回扣	回执						
lks	圆柱	回想							
lkt	回答	回升	回复	回笼	回程				
lku	回头	回首	回音						
lkw	轵	回合	四中全会	回信	毄				
lkx	回乡	回绝							
lky	回族	回访	回旋	回京	回话				
llb	田联	田阳	轰轰隆隆						
lld	䍛								
llf	畕	默默无闻	轻轻地	田地	田埂	默默无语	圛		
llg	圜	䡒	轰轰烈烈	囫囵吞枣	轘				
llh	䡛								
llj	田野	田里							
llk	㘡								
lll	田	田园	逻辑思维	团团围住	团团转	连轴转	壨	奰	櫐
lln	逻辑性	罳							
llp	轋								
llr	逻辑推理	辗转反侧							
lls	田林								
llt	田径								
llu	田间	田头							
llv	男男女女								
llw	田园风光	车辆保养	轀						
lly	转轨变型	田甲方框四车力	圐						
lmb	轴承								
lmd	Α	Β	Γ	Δ	Ε	Ζ	Η	Θ	Ι
lmf	男同志	畘	輖						
lmg	轴	国内形势	略见一斑						
lmh	軕	国内战争	䚑						
lmn	轴心	国内情况							
lmq	国内外	国内外市场	国内贸易	国内外经济	国内外形势				
lmt	国内先进水平								
lmu	辋	国内新闻	国内首创						
lmw	軜	鷶	㽯						
lmx	α	β	γ	δ	ε	ζ	η	θ	ι
lmy	国内市场								
lna	辗	思茅	国民警卫队						
lnb	轏								
lnc	罹难								
lnd	国民大会	顋							
lnf	思考	思索	回忆起	国情教育	国民教育	罻	軐		
lng	翈	国民政府	辅导班						
lnh	思虑	䡂							
lni	国民党	思潮							
lnj	思量								
lnk	思路	辅导员	䡶						
lnl	辗转	回心转意							
lnn	轧	国民收入	囻	罠	䡑				
lnp	图书室								
lnq	图书馆	轧钢							
lnr	轧制	辅导报告							
lns	思想	轧机							
lnt	国民生产总值	㘠							
lnu	思	辅导站	图书资料	国情咨文	国民总产值	国民总收入			
lnv	回忆录								
lnw	罹	思念	疁	轇					
lnx	国民经济	思维	思绪	思乡	国民经济各部门	国民经济体系	国民经济计划		
lny	国民议会	回收率							
loa	国庆节								
lod	软磨硬泡								
lof	转业干部								
log	轐	轛							
loh	黑灯瞎火								
loj	国庆日								
lon	辘	䍡							
lop	转业军人								
loq	辚	疄							
lou	䍘	国库券							
lpa	辖区	国家工商行政管理局	国家医药管理局	国家基金	国家黄金管理局				
lpb	国家队	连队							
lpc	连通	国家验收	国家预算						
lpd	辖	连成	置之不理	国家大事	墨守成规	国家不分大小	国家矿产储量管理局		
lpe	连胜	连用	置之脑后	畳					
lpf	国家教委	国家专利	国家规定	国家元首	国家专利局	连声	连载	国家地震局	国家干部
lpg	国家环保局	国家副主席	连带	连环	国家政权	连天	国家环境保护局		
lph	輨								
lpi	国家法	国家海洋局	国家测绘局	连江	固定汇率				
lpj	连日								
lpk	连	国家中医药管理局	国家另有规定						
lpl	连连	国家国有资产管理局	畹町	䡣					
lpm	国家财政	连同	国家财产	国家赔偿	连山				
lpn	国家民委	国家发展计划委员会	连忙	国富民强	国家民族事务委员会	㦁			
lpo	置之度外	国家烟草专卖局							
lpp	国家安全	国家富强	国家安全部	国家安全委员会	国家补贴	国家社会主义			
lpq	畹	连锁	国宾馆	国家银行	国家外汇管理局	国家独立	国家外国专家局	䡝	
lpr	连接	连年	国家技术监督局	国家气象局	国家制度				
lps	国家标准	国家机关	国家权力	国家机构	国家机关工作人员	国家机密	国家档案局	国家机器	国家核安全局
lpt	国家科委	国家和地区	国家重点	国家科技	国家利益	国家自然科学基金委员会	连长	国家税收	国家税务局
lpu	固定资产	固定资本	固定资金	国家决算					
lpv	国家建设	国家建材局	国家建筑材料工业局						
lpw	国家体委	国家领导人	连任	国家体改委	黑社会	黑社会性质	连作	国家体制	国家保密局
lpx	连续	国家级	国家经贸委	国家统计局	国家统一	连结	国家经济建设	连绵	连贯
lpy	国家计委	国家主权	国家主席	连夜	国家计划	国家旅游局	国家文物局	国家计生委	国家商检局
lqa	软卧	连锁功能	軝	軧	䍕				
lqc	罗马								
lqd	轩然大波	轧钢厂							
lqe	輡								
lqf	罗干	斩钉截铁	㝶						
lqg	罗列	罗平							
lqi	罗汉								
lqj	蜀	劅	斀	斣	歜	鸀	䫳		
lqk	軥	㽛							
lql	逻辑	罗田	䡘						
lqm	罗山								
lqn	軳	䍖							
lqo	连锁店	㽤							
lqp	逻	罗定	因名额有限						
lqq	罗甸	黑色金属	䡔						
lqr	囫	连锁反应	黯然失色						
lqt	软盘	罗盘							
lqu	罗	软包装	黑名单	畇					
lqw	软	软件	软化	软体	轰然倒下				
lqx	软弱	国外经验							
lqy	鸭	国外市场	转危为安	连锁商店	畂	罶	輷		
lra	团的工作	圆白菜							
lrb	䍟								
lrc	畈	畖	罛	軱	䡊				
lrd	暂不	连年不断	磛						
lre	暂且								
lrf	堑	连看都不看	暂无	輴	䟅				
lrg	轶事								
lrh	斩	转折点	覱						
lri	轻描淡写								
lrj	暂	暂时	黑白电视机						
lrk	蹔								
lrl	轻手轻脚	䍢							
lrm	圆舞曲	㟻							
lrn	固执己见	慙							
lrp	罪魁祸首	暂定							
lrq	錾	䡚							
lrr	㨻	䡈							
lrs	椠								
lrt	暂行	因势利导	暂告	㽡	䡟				
lru	转折关头								
lrv	㜞								
lrw	轶	暂停	暂住	转手倒卖	䭕	䳻			
lrx	转换经营机制	暂缓							
lsa	困惑	思想工作	恩格斯	困苦					
lsc	困难	思想观念							
lsd	思想感情								
lsf	困境	回想起	黔西南	连想都不敢想					
lsg	思想政治工作	思想政治教育	思想政治觉悟	輏					
lsh	町	思想上							
lsi	困	思想活跃	思想混乱						
lsj	甼								
lsk	轲	思想路线							
lsp	思想家	困窘							
lsq	思想包袱								
lsr	困扰	黑板报							
lss	墨西哥	罧							
lsu	䍒	思想道德	思想道德素质	思想斗争	思想道德水平				
lsv	思想建设	思想灵魂							
lsw	思想作风	思想体系	思想修养						
lsx	思想统一								
lsy	思想认识	思想方法	因材施教						
ltb	国务院	国务院副总理	国务院总理	回答了	国务院办公厅	国务院研究室	国务院法制局	国务院台办	国务院台湾事务办公室
ltc	辐射能								
ltd	轿	略有	四处奔波	四处奔走	䡫				
lte	略加	暂行办法	輈	辀					
ltf	暂行规定	田径运动	軞	軠	䡽				
ltg	图形	图表	置身于	图画	略带	输入速度	四千万	略知一二	置身事外
lth	䡻								
lti	囷	软科学	国务活动家	四处活动					
ltj	图景	輹							
ltk	略	辂	车牌号	图中	畧	㨼	䌎		
ltl	轿车	连篇累牍	罪行累累	䡯					
ltm	因特网	鸭舌帽	因特网服务提供者						
ltn	轹	图书	图片展	图片展览	囤积居奇	䢀			
lto	四季度	轓							
ltp	图案	因循守旧	田径赛						
ltq	图象	国务卿	图解						
ltr	男选手	回答提问	因私护照						
lts	图板	图样							
ltt	图片	国务委员	略微	暂行管理办法					
ltu	图	轷	国务部长	图章	軤				
ltv	恩重如山								
ltw	图像	图们	国务会议	因条件限制	䡮				
ltx	图纸	轻重缓急	畮	䍙					
lty	畋	图谋	回答记者提问	略为					
lua	軿								
lub	圈子								
lud	圈	圈套	圏	畻					
lue	䡵								
lug	畔	䢂	轙	㽨	䡭				
luh	轻装上阵								
luj	疃	回头是岸	罯	罿	䡴				
luk	回头路								
lul	罾	畏首畏尾	㽪						
lur	図								
lus	思前想后	輶							
lut	田间管理	回首往事	轻音乐						
luu	轻装前进								
luv	男尊女卑								
luw	国产化	恩将仇报							
lux	罤	㽧							
luy	车间主任								
lvb	男女队	䣚							
lvc	男女双方								
lvd	囡	䫫							
lvf	㚻	较好地	男女老少	圕					
lvg	男女平等	甊							
lvj	罺	轈							
lvk	轺								
lvl	辎								
lvn	轨								
lvp	遱								
lvt	氀	輑							
lvu	轨道	㪹							
lvw	鷜								
lvy	轫	轨迹							
lwa	轮式	软件工程							
lwb	输出	界限	轮子						
lwc	轮台	软件预装	撃	繋	軗	䡆			
lwd	界面	四人帮	因人而异	四化大业	四体不勤	圙			
lwe	轸	畛	轮胎						
lwf	囶	軵							
lwg	输	辁	软件开发	四个现代化	四分五裂	畭			
lwi	囚	轮流	输液	轮渡	界河	软件测试			
lwj	界	输电	四个坚持	畍					
lwk	软件中心								
lwl	轮回	轮转	软件园						
lwn	䡄	国企改革	软件展览会	䡧					
lwo	软件业	轮廓	固体燃料						
lwp	界定	团体赛	团体冠军						
lwq	软件包	囚犯							
lwr	软件技术	轮换	输掉	团体操	因公护照				
lws	轮椅	囚禁							
lwt	输入	输血	轮船	轮番	软件移植	软任务	畟		
lwu	软件产品	软件产业	输送	软件部	软件盗版	界首			
lwv	四化建设	鴫							
lww	软件企业	轮作	輍						
lwx	轮	囵	界线	囮					
lwy	㽗	囹	国会议员	轮训	输赢	暂住证	圀	罖	軓
lxb	甲级队								
lxc	思维能力	䡏							
lxd	团结奋斗	团结在	连续不断	团结奋进	连绵不断	畏缩不前			
lxe	累加	軪							
lxf	团结协作	软弱无力	累进	连绵起伏	软弱无能				
lxg	团结一致	团结一心	团结与合作	团结互助	累赘				
lxh	羄								
lxi	累	鸭绿江	软弱涣散						
lxk	羂								
lxl	累累	毗连							
lxn	连续性	连贯性							
lxq	墨绿色								
lxt	累积	团结稳定	团结和带领	回乡务农					
lxu	轻纺产品								
lxw	毗邻	连续作战	团结合作	连线作业					
lxx	毗	辔	团组织	毘	䡡				
lxy	累计								
lyb	转变职能								
lyc	辙	较难							
lyd	圁	较大	图谋不轨						
lye	畩								
lyf	詈	罚款	较远	罸					
lyg	略高于	罜	軴						
lyi	较少	较小							
lyj	罚	较量	较早	较晚	较易	较紧			
lyk	輬	辌							
lyl	较轻								
lyn	较快	国计民生	甿	畡	軶	輆	䡎	䡢	䡪
lyp	较之	连衣裙							
lyq	较多	罚金	男主角						
lyr	较近	转弯抹角	䍠	䍦					
lyt	较长	较短	较重	团市委	因为种种原因				
lyu	较差	图文并茂	䍤						
lyv	较好	䍚	䡙						
lyw	较	较低	回旋余地	较优	囥	㽘	䡉		
lyx	较强	较弱	圝	圞	羉	䍗			
lyy	较高	较为							
maa	典范	典雅	曲艺	同甘共苦	㟞	㠏			
mab	曲子	曲阳							
mad	曲	贼	内蒙古	内蒙古自治区	嵌套	典故	见世面	同工不同酬	嵁
maf	嵌	㞬	䝸						
mag	屸	典型	艶	豊	豑	鄷	㻃		
mah	岈	峫							
mai	岽	山东省							
maj	嶱	贎	㟙	䞁					
mak	巈	巏							
mam	崂山	曲周	同工同酬						
man	周期性	同工异曲	岠	㤟					
map	嵘	崂	典礼	㠓	䢗				
maq	曲解	嵽	嶜						
mar	岖	曲折							
mat	嵌入	典籍	迪斯科	由东向西	峣				
mau	曲靖								
maw	典	曲阜	敟	覥	觍	㟟	㟷	㠛	䐌
max	曲线								
may	戝	曲调	㟐						
mbb	㕀								
mbd	邮码								
mbg	㞨	邮政	同出一辙						
mbh	邮	邖	郥						
mbi	崡								
mbj	邮电	骨子里							
mbk	邮路								
mbm	邮购	内联网							
mbn	貤	邮局	邮戳						
mbp	邮寄								
mbq	邮包	内联外引	㟹						
mbr	㞧								
mbs	邮票								
mbt	屷	邮箱	嶐	㠕					
mbu	邮资	邮递							
mbw	邮件								
mbx	邮编	邮费							
mby	岌	岋							
mca	峅								
mcb	岜	㽕							
mcc	嵾	贂	㠁						
mcd	㟥								
mcg	峄	由难到易							
mci	禸								
mck	贻								
mcm	峻岭								
mcs	刚柔相济								
mcw	峻	賐							
mcy	贻误								
mda	巁								
mdb	内在联系								
mdd	岩石	由盛而衰							
mde	贿	岸边	峟						
mdf	岩	岸	崖	赈	峚	崕	㟁	䝽	䞅
mdg	岵	崴	央求	嵅	嵗	㼜			
mdh	酆	岸上	岂有此理	岯	巎	豒	豓	㞸	㿮
mdi	央	岩溶	岩洞						
mdj	崦								
mdl	盎	輋							
mdm	颛	遄	贿赂	崎岖	剬	峏	崸	歂	頔
mdn	岩层	盎司	岂不怪哉	峸	㟌				
mdo	炭								
mdp	赈灾	见面礼	央视						
mdq	鸯	盎然	䒋						
mdr	屵	财大气粗	㟲	㟶					
mds	崎	嶏	㟢						
mdt	央行	周而复始	见不得人	由左向右	㠣				
mdu	岩浆	嶚	嶛	嶡	嶥				
mdw	骨灰盒	嵟	賰	䞐					
mdx	賎								
mdy	网页设计	贆							
mea	嶾	骮	䯦						
meb	骨子	㟊							
med	髓	骷	骨灰	顝	骻	髄	䯋	䯝	
mee	崩	骨架	剻	骽	䣙	䯇			
mef	骨	胄	骨干	崩塌	骭	髐	䯈	䯓	
meg	岄	岨	嵈	骬	骾	髆	㠘	䯙	
meh	骳	骴	髗	㟬					
mei	崩溃	䯑							
mej	髁	髃	䯜	䯠	䯥				
mek	䯣								
mel	髑								
mem	骨髓	骨骼	骨肉	䯐	䯞				
men	髎	䯆	䯌						
meo	髅	髍							
mep	髋	髂	髌	髉	䯔	䯘	䯛		
meq	鹘	骶	骲	䯉					
mer	屴	髀	骺	骨折	骨气				
mes	骵	䯊							
met	骼	骨科	财力物力	䞈	䯏	䯒	䯕		
meu	骨头	骿	髊	䯟	䯡				
mev	骩	骫	㟎						
mew	骰	骱	骪	䯍	䯎	䯤			
mex	嵠	䯗	䯚						
mey	骸	骹	髇	髈	䯖				
mfa	周期	雕花							
mfc	岐	赋予							
mfd	冉	冃	冄	嶿					
mfe	财力	周边	骨干力量						
mff	峙	亗	周刊	赌博	赌场	崶	嶀	嶢	嶤
mfg	财政	周末	周到	雕琢	周至				
mfh	赋	屽	巅	嵮					
mfi	财源	赌注	周游	山南海北					
mfk	雕	周	周口	翢	賳	郮	鵰	㓮	
mfl	周围	周转	财团						
mfm	周岁	巅峰							
mfn	赎	嶹	䎃						
mfp	财富	周密	财神	㟑					
mfq	财贸	岏	崁	貦					
mfr	周年	周报	周折	赌鬼	㞿				
mfs	财权								
mft	财	赌	财务	财税	财物	周长	周身	由南向北	峔
mfu	财产	雕塑	崭露头角	赋闲					
mfw	同志们	骨干企业	财会	雕像	周全	山雨欲来风满楼	崚	嶻	㠝
mfx	贱	财经							
mfy	雕刻	周旋	赋诗						
mga	岍	同期	由于某种原因	崋	㟖				
mgb	败下阵来	由表及里							
mgc	财政预算	同台	峌	䞃					
mgd	同感	刚正不阿	由下而上	败事有余					
mge	赙	豳	同胞	峬	崝	嶳			䝵
mgf	同志	财政支出	财政赤字	典型示范	同去	同城			
mgg	同一	同事	财政政策	同班	网开一面	财政开支			
mgh	同步	同上	同龄	由于上述原因					
mgi	赇	同学	同党	同江	同源	山珍海味	山青水秀	㟈	
mgj	同时	同日	同盟	财政监督	峘	峺	崬	畁	
mgk	同	峿	戙	敱	敳	獃	迵	顗	颽
mgl	财政困难								
mgm	嶆								
mgn	屿	财政收入	同情	同心	财政局	财政收支	邮政局	由来已久	同居
mgo	崃	同类	同业						
mgp	财政补贴	同窗	贩毒案	同安					
mgq	同名	财政金融	财政负担	财政危机	财政包干体制	屼	峛	峢	㟼
mgr	典型的	同年	财政年度	岁末年初					
mgs	同样	同机	同档						
mgt	同行	同等	由于种种原因	同乐	同德	财政管理	由下向上		
mgu	峡	同意	财政部	财政部门	财政部长	内政部	财政资金	财政状况	岼
mgv	刚开始	崨							
mgw	同一个	同仁	峡谷	同伴	同化	贩毒集团	同伙	贩毒分子	邮政信箱
mgx	邮政编码	同级	同乡	同组	财政纪律	同比	峓		
mgy	同义	典型调查							
mha	帷幕	贴切	网上营销	巇	巘	巚	帴	帺	幉
mhb	帽子	幌子	由此及彼	㠷	㡇				
mhc	网上通缉	岥	帊	幓	貱	㡎			
mhd	帱	幅面	由此而	帐面	帆布	由此而来	由上而下	网上在逃犯	帗
mhe	网上办公	幍	㡥	㡪					
mhf	帏	同步增长	帐款	帾	幩	甴	㠸		
mhg	幅	帻	由于	由来	贴现	由点到面	由此来看	円	峠
mhh	帖	帧	帔	由此	帐目	㥈			
mhi	帩	幥	㠺						
mhj	帽	幌	幔	幆	幜	㡌	㡢		
mhk	巾	贴	帜	帐号	幅员	贴吧	岾	幝	幧
mhl	帼	㡞							
mhm	巾帼	网上购物							
mhn	冂	由	贝	幄	贴心	幈			
mho	幞	幅度	贝类	网上炒股	幮	㡤			
mhp	贴补	帎	帵	幎	幏	幰	㡓	㡦	㡧
mhq	网上银行	幨	㡄	㡅	㡈	㡊			
mhr	帕	帙	贴近	由此看来	幠	㠼	㡒	㡗	
mhs	由此可见	由此可以看出	帐本	帄	幖				
mht	帐	幡	帐篷	贴息	帆船	帐簿	贴身	由上向下	帲
mhu	幢	幛	帐单	帡	帨	帹	幱	㡐	㡘
mhv	㠴								
mhw	帆	帷	同龄人	帉	帢	帿	㠹	㡃	㡏
mhx	㠲	㡉							
mhy	帐户	由衷	网上交易	网上商务	㡆	䶓			
mia	财源茂盛								
mid	巌								
mie	峭								
mif	内河运输	埊							
mig	雕梁画栋								
mii	山清水秀								
mij	山洪暴发	崉							
mik	丹江口								
mim	䞆								
min	峭壁								
mip	贘								
mit	由浅入深								
miu	汖	山海关							
miv	崇洋媚外								
miw	嵴	同流合污	巀						
mja	同时期								
mjb	同时也说明								
mjc	邮电通信								
mjd	则有	同日而语	囬	廽	逥				
mjf	㞱	嵵							
mjg	同归于尽	由易到难	崵	崼	䍏				
mjh	则	賵	赗						
mji	雕虫小技	山盟海誓							
mjj	䞎								
mjm	嵎								
mjn	邮电局								
mjo	邮电业								
mjp	同盟军								
mjq	赐	内紧外松	嵑						
mjt	见景生情								
mju	邮电部	同时并举							
mjv	岿								
mjw	同时代	同盟会							
mjx	崐								
mkb	幅员辽阔	嶯							
mkd	冋								
mkg	㞻								
mkh	㞲								
mki	山呼海啸								
mkk	同呼吸	崿	嵓	巗	賗	贃	㟧	㠆	㠋
mkp	迥	㢠							
mkq	贶	岲							
mkr	贼喊捉贼								
mku	㟕								
mkw	嶉								
mld	崮	崓							
mlg	周恩来	周围环境	嵔	㟪	㟵				
mlh	岬	嶵	㠑						
mlj	周转量								
mlk	峰回路转								
mll	㠥								
mln	崽	䞏							
mlr	崭	嶃							
mlu	崭新	周转资金							
mlv	㟺								
mlw	幽默风趣								
mma	山东	山区	删节	山花	巾帼英雄	嶩	賟		
mmb	删除	山阳	崎岖险阻						
mmd	巾帼不让须眉	岟	㟨	㠦					
mme	山脉	山脚	山腰						
mmf	峀	山地	山坡	山城	刚刚过去	山南	山坳	见财起心	賙
mmg	册	岫	删	峒	山下	刚刚开始	峝	嵦	甖
mmh	屾	山上							
mmi	山水	山沟	山河	山洪	山洞	山梁	山脊		
mmj	岀	崱							
mmk	山路	山川	山口						
